"Date","Price","Open","High","Low","Vol.","Change %"
"10/01/2024","168.42","168.86","170.44","165.90","18.63M","0.74%"
"09/30/2024","167.19","164.78","167.36","164.64","14.08M","1.15%"
"09/27/2024","165.29","163.91","166.97","163.83","13.60M","0.89%"
"09/26/2024","163.83","165.03","165.50","163.50","18.23M","0.52%"
"09/25/2024","162.99","162.97","164.22","162.77","13.61M","-0.40%"
"09/24/2024","163.64","164.25","164.55","162.03","18.77M","0.35%"
"09/23/2024","163.07","165.34","166.61","162.95","15.65M","-0.95%"
"09/20/2024","164.64","164.52","164.75","163.18","46.36M","0.86%"
"09/19/2024","163.24","164.82","164.99","162.52","17.55M","1.51%"
"09/18/2024","160.81","160.85","161.63","159.66","16.76M","0.33%"
"09/17/2024","160.28","160.09","161.59","159.41","12.06M","0.81%"
"09/16/2024","158.99","158.33","159.24","157.61","14.16M","0.39%"
"09/13/2024","158.37","156.36","159.27","156.11","16.73M","1.82%"
"09/12/2024","155.54","154.81","155.61","153.50","21.02M","2.23%"
"09/11/2024","152.15","151.09","152.48","148.70","18.99M","1.43%"
"09/10/2024","150.01","151.45","152.30","149.54","20.40M","0.31%"
"09/09/2024","149.54","153.63","154.64","148.20","28.06M","-1.70%"
"09/06/2024","152.13","158.69","159.22","151.93","25.00M","-4.08%"
"09/05/2024","158.60","157.78","161.01","157.52","14.14M","0.50%"
"09/04/2024","157.81","158.07","160.40","157.44","17.41M","-0.50%"
"09/03/2024","158.61","163.32","163.38","157.85","26.53M","-3.94%"
"08/30/2024","165.11","164.22","165.28","163.41","18.50M","1.05%"
"08/29/2024","163.40","166.06","167.63","161.98","17.13M","-0.67%"
"08/28/2024","164.50","166.78","167.39","163.28","15.21M","-1.13%"
"08/27/2024","166.38","167.61","168.24","166.16","13.72M","-0.92%"
"08/26/2024","167.93","168.15","169.38","166.32","11.99M","0.30%"
"08/23/2024","167.43","166.55","167.95","165.66","14.28M","1.17%"
"08/22/2024","165.49","169.04","169.42","165.03","19.12M","-1.28%"
